"No","회계연도","지역명","자치단체코드","자치단체명","행사축제명","사업내용","총비용","사업수익","순원가","개최시작일자","개최종료일자"
"413","2023","전북","4578000","전북부안군","변산 비치파티","  - 개 막 행 사 : 비치樂개장식, 개막축하공연(저스트절크), 불꽃놀이
  - 무대프로그램 : 비치댄스(경연대회, 총상금25백만원), 랜덤플레이 댄스 페스티벌,  댄스팀퍼포먼스(6팀),  EDM버블파티
  - 워터프로그램 : 부표서바이벌, 풀장, 워터슬라이드, 물총싸움 
  - 체험프로그램 : 모래놀이, 타투스티커, 페이스페인팅, 비치볼꾸미기, 플로깅 캠페인 등
  - 부대프로그램 : 모래조각설치, 먹거리부스, 특산물판매장, 비치프리마켓 등","390813900","0","390813900","20230804","20230806"
"414","2023","전남","4600000","전남본청","남도음식문화큰잔치","전시관, 판매장터, 문화공연, 시식·문화체험, 국제 학술포럼 등","1600000000","0","1600000000","20231006","20231008"
"415","2023","전남","4600000","전남본청","전남 GT(그랜드투어링)","- 기간/장소 : '23. 9. 23.(토) ~ 9. 24.(일) / 영암 국제자동차경주장
- 주    최 : 전라남도
- 대회규모 : 5개 종목, 133대
- 주요내용 : 자동차, 모터사이클 등 모터스포츠 통합개최
- 방 문 객 : 10,273명(대회관계자 1,929, 운영인력 621, 관람객 7,723)","639978000","0","639978000","20230923","20230924"
"416","2023","전남","4611000","전남목포시","목포항구축제","목포항 파시를 중심으로 항구 관련 프로그램 운영(개·폐막, 대표 및 차별화·체험·공연·경연 프로그램 등)
  - 목포의 문화·관광·역사를 스토리텔링한 콘텐츠 구성  
    - 전통과 근대 파시, 선상이벤트 등으로‘파시’정체성 강화
    - 핫플레이스 실경공연으로 축제장 공간 한계 극복 및 관광명소 홍보
    - 목포9미, 씨푸드 활용 한 목포의 맛 홍보 및 체험 프로그램 개발","968421400","677894980","290526420","20231020","20231022"
"417","2023","전남","4611000","전남목포시","유달산 꽃축제","수군퍼레이드, 수군문화병영체험, 봄과 함께하는 토크콘서트, 봄길 버스킹 등 
유달산 일주도로를 활용한 다채로운 프로그램 구성","309240000","210000000","99240000","20230408","20230409"
"418","2023","전남","4611000","전남목포시","목포문화재야행","8야 (야경-밤에보는문화재, 야로-밤에걷는거리, 야사-밤에듣는 역사와 문화재이야기,
 야화-밤에보는그림, 야설-공연이야기, 야시-장시이야기, 야식-음식이야기, 야숙-문화재에서 하룻밤),","603186990","313657230","289529760","20231014","20231015"
"419","2023","전남","4611000","전남목포시","목포문학박람회","기념행사, 전시, 4인4색문학제, 공연, 체험, 문학관광상품 등을 도입하여 문학을 테마로 한 복합문화축제 개최","1000000000","700000000","300000000","20230914","20230917"
"420","2023","전남","4611000","전남목포시","목포해상W쇼","목포해상W쇼 공연 기획·운영, 홍보마케팅 등
- 해상뮤지컬+바다분수+불꽃 공연을 통해 차별화된 볼거리 제공
- 구성 및 연출 요소 변경 및 새로운 버전 개발로 공연 완성도 향상
- 기    간 : 2023. 1. ~ 12. <1년>  ※ 공연은 4~11월 진행
- 장    소 : 평화광장 춤추는 바다분수 해상무대","823864200","566704940","257159260","20230101","20231231"
"421","2023","전남","4611000","전남목포시","목포노을드론라이트쇼","300여대의 대규모 군집드론을 이용한 공연 2일간 총 4회 운영, 콘서트, 뮤직플레이 TOP5등 다채로운 공연 운영","532558390","50000000","482558390","20231006","20231007"
"422","2023","전남","4612000","전남여수시","여수 거북선 축제"," ❍ 행 사 명 : 제57회여수거북선축제
  ❍ 기    간 : 2023. 5. 4.(목) ~ 5. 7.(일) / 4일간
  ❍ 장    소 : 여수세계박람회장 일원
    ‣ 주 행사장 : 엑스포광장
    ‣ 통제영길놀이 구간 : 중앙쇼핑센터→ 여수세계박람회장(약1.7km)
  ❍ 주    최 : 여수시 ․ (사)여수진남거북선축제보존회 
  ❍ 주    관 : 제57회 여수거북선축제위원회
  ❍ 예상관객 : 30만명(시민10만명 / 관광객20만명)
  ❍ 예    산 : 980백만원(시비900, 도비20, 자부담97,880,000원)","1006320436","0","1006320436","20230504","20230507"
"423","2023","전남","4612000","전남여수시","여수밤바다 불꽃축제","개막식, 멀티미디어 불꽃쇼, 공연 행사,  사진 공모전","445000000","0","445000000","20231028","20231028"
"424","2023","전남","4612000","전남여수시","여수밤바다 낭만버스커 거리문화공연","댄스, 악기 연주, 어쿠스틱, 밴드, 마술 등 거리문화공연","500000000","0","500000000","20230428","20231028"
"425","2023","전남","4612000","전남여수시","제17차 세계에서 가장 아름다운 만 세계총회","❍ 행 사 명:「제17차 세계에서 가장 아름다운 만 세계총회」 
  ❍ 기    간: 2023. 10. 19.(목) ~ 10. 23.(월) / 5일간
      ※ 개회식 : ’23.10.20.(금) 17:00 / 연차총회 : 10.21.(토) ∼ 10.22.(일) / 폐회식 : 10.23.(월) 17:30
  ❍ 장    소: 여수소노캄호텔
  ❍ 주최/주관 : 세계만협회 / 여수시, 여수만협회","435600000","0","435600000","20231019","20231023"
"426","2023","전남","4612000","전남여수시","여수동동북축제","북 퍼레이드, 메인 아티스트 공연, 각종 전시 체험행사 등","300000000","0","300000000","20231021","20231022"
"427","2023","전남","4613000","전남순천시","항꾼에 즐기는 아고라순천 문화예술 행사","국악, 대중음악, 순수음악, 무용 등 다양한 문화예술 장르가 융합된 '순천형 상설 문화예술공연' 추진","933925700","99658000","834267700","20230401","20231130"
"428","2023","전남","4613000","전남순천시","순천푸드앤아트페스티벌","대표음식 및 개발음식 판매, 공연, 전시, 체험 등","687654210","28976000","658678210","20231007","20231009"
"429","2023","전남","4613000","전남순천시","세계유산축전","세계유산 가치 향유 및 확산 프로그램 운영(공연, 전시, 체험, 교육, 투어 등)","2000000000","1400000000","600000000","20230801","20230831"
"430","2023","전남","4613000","전남순천시","남도영화제","- 행사기간 : 2023. 10. 20.(금) ~ 24.(화)/ 5일간
  (개막식) 10.20.(금) 18:00/ 순천만국가정원
  (폐막식) 10.24.(화) 18:00/ 순천만생태문화교육원 공연장 2층
- 장소 : 순천시 일원
- 주최/주관 : 전라남도, 순천시/(사)전남영상위원회
- 규모 : 25개국 80편(9개 극장/24개 스크린) 상영, 관람인원 3만명 목표
- 주요행사 : 개폐막식, 감독과의 대화, 강연토크, 영화상영 및 부대행사, '순천하다' 특화프로그램 운영 등","1954112404","1000000000","954112404","20231020","20231024"
"431","2023","전남","4615000","전남광양시","광양매화축제","매화 매실 관련 전시, 공연, 체험, 판매 등","290000000","0","290000000","20230310","20230319"
"432","2023","전남","4671000","전남담양군","담양대나무축제","- 대나무 관련 제품 전시, 체험, 공연, 판매 프로그램 운영 등","600000000","0","600000000","20230503","20230507"
"433","2023","전남","4671000","전남담양군","한여름밤 별빛달빛 축제","- 크리스마스 경관 조성
- EDM 공연 및 거리 퍼레이드
- 크리스마스 체험 이벤트 및 마켓 운영
","600000000","0","600000000","20231223","20231225"
"434","2023","전남","4672000","전남곡성군","제13회 곡성세계장미축제","* 꽃 축제의 분위기와 축제 주제를 반영한 특별 프로그램 기획
* 관내 식당 입점, 농특산품 판매 코너를 마련하여 지역경제 활성화 유토","745000000","0","745000000","20230520","20230527"
"435","2023","전남","4672000","전남곡성군","제23회 곡성심청어린이대축제","어린이 연기 뮤지컬, 퍼레이드, 캐릭터 싱어롱쇼 등
","480000000","0","480000000","20231006","20231009"
"436","2023","전남","4673000","전남구례군","구례산수유꽃축제","가. 기    간: 2023. 3. 11. ~ 3. 19.(9일간)
나. 장    소: 산동면 지리산온천관광지 일원
다. 종    목: 5개부문 38종목
라. 주    제: 영원한 사랑을 찾아서","0","0","0","20230311","20230319"
"437","2023","전남","4673000","전남구례군","국제철인3종경기","등록 및 접수, 226km 풀코스 경기 추진(수영 3.8, 사이클 180, 마라톤 42.2), 시상식 및 챔피언십 참가권 롤다운 행사","0","0","0","20230908","20230911"
"438","2023","전남","4674000","전남고흥군","고흥 유자 석류축제","개막식, 개막 축하쇼, 경연 및 공연, 판매촉진 상설이벤트, 특별 프로그램 및 유자 석류 등 체험 프로그램, 판매ㆍ전시 프로그램, 부대 및 연계행사","999396920","0","999396920","20231103","20231105"
"439","2023","전남","4674000","전남고흥군","녹동항 드론쇼 운영","- 녹동항 드론쇼 홍보, 컨텐츠 구성, 운영, 안전대책 마련 등 전반적인 드론쇼 운영
- 고흥과 관련된 컨텐츠를 포함하여 녹동항 야간경관과 어우러지도록 계절·기념일별 다양한 내용으로 구성","100","0","100","20230513","20231125"
"440","2023","전남","4675000","전남보성군","서편제보성소리축제","기념행사: 추모행사, 기념공연, 기념식
경연대회: 전국판소리 및 고수 경연대회(예선, 본선)
부대행사: 체험부스, 주막집, 간식코너, 특산물판매장, 명인명창고수열전, 버스킹공연 등","459998040","0","459998040","20230429","20230501"
"441","2023","전남","4675000","전남보성군","보성다향대축제","개막행사, 차문화행사, 공연 및 경연, 체험활동, 전시 등","929003170","0","929003170","20230429","20230507"
